ID,firstName,lastName,email,originPlanet,stardustCollection,wormholeNavigationSkill,spacesuitColor,department_ID,position_ID
99999999-9999-9999-9999-999999999991,Luke,Skywalker,luke@galactic.space,Planet X,150,8,Orange,11111111-1111-1111-1111-111111111111,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa
99999999-9999-9999-9999-999999999992,Leia,Organa,leia@galactic.space,Planet X,220,9,White,33333333-3333-3333-3333-333333333333,cccccccc-cccc-cccc-cccc-cccccccccccc
99999999-9999-9999-9999-999999999993,Han,Solo,han@galactic.space,Planet Y,120,7,Brown,22222222-2222-2222-2222-222222222222,bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb
99999999-9999-9999-9999-999999999994,Anakin,Skywalker,anakin@galactic.space,Planet X,310,10,Black,33333333-3333-3333-3333-333333333333,cccccccc-cccc-cccc-cccc-cccccccccccc
99999999-9999-9999-9999-999999999995,Padme,Amidala,padme@galactic.space,Planet X,205,8,Blue,11111111-1111-1111-1111-111111111111,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa
99999999-9999-9999-9999-999999999996,Obi-Wan,Kenobi,obiwan@galactic.space,Planet X,275,9,Beige,33333333-3333-3333-3333-333333333333,cccccccc-cccc-cccc-cccc-cccccccccccc
99999999-9999-9999-9999-999999999997,Yoda,Master,yoda@galactic.space,Planet X,500,10,Green,33333333-3333-3333-3333-333333333333,cccccccc-cccc-cccc-cccc-cccccccccccc
99999999-9999-9999-9999-999999999998,Mace,Windu,mace@galactic.space,Planet X,260,8,Purple,11111111-1111-1111-1111-111111111111,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa
99999999-9999-9999-9999-999999999999,Qui-Gon,Jinn,quigon@galactic.space,Planet X,240,8,Green,11111111-1111-1111-1111-111111111111,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa
99999999-9999-9999-9999-999999999910,Ahsoka,Tano,ahsoka@galactic.space,Planet X,230,9,Gray,33333333-3333-3333-3333-333333333333,cccccccc-cccc-cccc-cccc-cccccccccccc
99999999-9999-9999-9999-999999999911,Rey,Palmer,rey@galactic.space,Planet X,210,8,White,11111111-1111-1111-1111-111111111111,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa
99999999-9999-9999-9999-999999999912,Finn,Storm,finn@galactic.space,Planet X,140,6,Black,11111111-1111-1111-1111-111111111111,bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb
99999999-9999-9999-9999-999999999913,Poe,Dameron,poe@galactic.space,Planet X,195,9,Orange,33333333-3333-3333-3333-333333333333,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa
99999999-9999-9999-9999-999999999914,Lando,Calrissian,lando@galactic.space,Planet Y,175,7,Yellow,22222222-2222-2222-2222-222222222222,bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb
99999999-9999-9999-9999-999999999915,Jyn,Erso,jyn@galactic.space,Planet Y,165,8,Gray,22222222-2222-2222-2222-222222222222,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa
99999999-9999-9999-9999-999999999916,Cassian,Andor,cassian@galactic.space,Planet Y,185,8,Black,22222222-2222-2222-2222-222222222222,bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb
99999999-9999-9999-9999-999999999917,Bo,Katan,bokatan@galactic.space,Planet Y,215,9,Blue,22222222-2222-2222-2222-222222222222,cccccccc-cccc-cccc-cccc-cccccccccccc
99999999-9999-9999-9999-999999999918,Din,Djarin,din@galactic.space,Planet Y,190,8,Silver,22222222-2222-2222-2222-222222222222,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa
99999999-9999-9999-9999-999999999919,Grogu,Child,grogu@galactic.space,Planet Y,320,10,Green,22222222-2222-2222-2222-222222222222,cccccccc-cccc-cccc-cccc-cccccccccccc
99999999-9999-9999-9999-999999999920,Boba,Fett,boba@galactic.space,Planet Y,225,7,Green,22222222-2222-2222-2222-222222222222,bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb
99999999-9999-9999-9999-999999999921,Fennec,Shand,fennec@galactic.space,Planet Y,205,8,Black,22222222-2222-2222-2222-222222222222,bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb
99999999-9999-9999-9999-999999999922,Sabine,Wren,sabine@galactic.space,Planet Y,180,8,Purple,22222222-2222-2222-2222-222222222222,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa
99999999-9999-9999-9999-999999999923,Hera,Syndulla,hera@galactic.space,Planet Y,235,9,Green,22222222-2222-2222-2222-222222222222,cccccccc-cccc-cccc-cccc-cccccccccccc
99999999-9999-9999-9999-999999999924,Zeb,Orrelios,zeb@galactic.space,Planet Y,160,6,Silver,22222222-2222-2222-2222-222222222222,bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb
99999999-9999-9999-9999-999999999925,Ezra,Bridger,ezra@galactic.space,Planet Y,170,8,Blue,22222222-2222-2222-2222-222222222222,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa
